"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
188,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
189,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
190,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,262,Timed Out
191,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
192,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
193,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
194,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
195,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
196,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
197,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
198,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
199,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
200,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
201,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
202,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
203,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
204,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
205,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
206,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
207,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
208,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
209,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
210,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
211,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
212,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
213,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
214,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
215,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
216,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
217,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
218,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
219,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
220,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
221,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
222,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
223,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
224,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
225,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
