"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
502,78,2.5,32,345,332,0.3,0.5
503,78,2.5,32,336,336,0.3,0.5
504,78,2.5,32,322,340,0.3,0.5
505,78,2.5,32,318,336,0.3,0.6
506,78,2.5,32,340,345,0.3,0.5
507,78,2.5,32,336,336,0.4,0.5
508,78,2.5,32,332,336,0.3,0.5
509,78,2.5,32,332,345,0.3,0.5
510,78,2.5,32,345,359,0.4,0.6
511,78,2.5,32,345,345,0.4,0.6
512,78,2.5,32,332,354,0.3,0.6
513,78,2.5,32,322,354,0.2,0.5
514,78,2.5,32,322,336,0.3,0.5
515,78,2.5,32,332,345,0.3,0.5
516,78,2.5,32,345,336,0.3,0.5
517,78,2.5,32,336,349,0.3,0.5
518,78,2.5,32,327,349,0.3,0.5
519,78,2.5,32,336,345,0.3,0.5
520,78,2.5,32,336,349,0.3,0.5
521,78,2.5,32,332,345,0.3,0.6
522,78,2.5,32,345,354,0.4,0.5
523,78,2.5,32,332,336,0.3,0.5
524,78,2.5,32,332,359,0.3,0.5
525,78,2.5,32,322,345,0.3,0.5
526,78,2.5,32,332,345,0.4,0.6
527,78,2.5,32,345,354,0.3,0.5
528,78,2.5,32,327,336,0.4,0.5
529,78,2.5,32,327,349,0.3,0.5
530,78,2.5,32,332,354,0.3,0.6
531,78,2.5,32,345,336,0.3,0.6
532,78,2.5,32,322,340,0.3,0.5
533,78,2.5,32,336,359,0.3,0.5
534,78,2.5,32,322,349,0.3,0.5
535,78,2.5,32,340,345,0.3,0.5
536,78,2.5,32,345,354,0.4,0.6
537,78,2.5,32,345,336,0.3,0.6
538,78,2.5,32,336,354,0.3,0.5
539,78,2.5,32,322,359,0.3,0.5
540,78,2.5,32,332,359,0.4,0.5
541,78,2.5,32,336,349,0.3,0.5
542,78,2.5,32,332,354,0.3,0.5
543,78,2.5,32,340,354,0.4,0.5
544,78,2.5,32,336,359,0.3,0.5
545,78,2.5,32,332,345,0.3,0.5
546,78,2.5,32,336,359,0.3,0.5
547,78,2.5,32,327,340,0.3,0.5
548,78,2.5,32,336,363,0.4,0.5
549,78,2.5,32,349,345,0.3,0.5
550,78,2.5,32,336,345,0.4,0.6
551,78,2.5,32,345,359,0.3,0.5
552,78,2.5,32,345,354,0.4,0.5
553,78,2.5,32,345,349,0.3,0.5
554,78,2.5,32,332,349,0.4,0.5
555,78,2.5,32,349,345,0.3,0.5
556,78,2.5,32,354,359,0.3,0.5
